Player,PIE_2017,PIE_2018,predictions,pred_error,AGE,MIN_2017,true_change_in_PIE,TEAM,Team_2018
Jonathan Isaac,7.1,8.2,8.428403932302759,0.22840393230275957,20,19.8,1.0999999999999996,ORL,ORL
Taurean Prince,9.0,7.5,9.63584720984849,2.1358472098484906,24,30.0,-1.5,ATL,ATL
Bojan Bogdanovic,9.1,11.1,8.830515157029346,2.2694848429706536,29,30.8,2.0,IND,IND
Julius Randle,13.5,13.7,12.74017880087723,0.9598211991227696,23,26.7,0.1999999999999993,LAL,NOP
Devin Harris,7.6,6.5,7.797586316641718,1.297586316641718,35,18.9,-1.0999999999999996,DEN,DAL
Delon Wright,11.6,10.9,9.98932713401377,0.9106728659862302,26,20.8,-0.6999999999999993,TOR,MEM
Tyler Dorsey,7.0,7.2,7.06171202840076,0.13828797159924022,22,17.4,0.20000000000000018,ATL,MEM
Devin Robinson,8.5,11.2,8.033662963301195,3.1663370366988044,23,13.2,2.6999999999999993,WAS,WAS
Kentavious Caldwell-Pope,9.2,8.3,8.816044815402156,0.5160448154021555,25,33.2,-0.8999999999999986,LAL,LAL
Fred VanVleet,11.1,9.5,9.292208174376968,0.20779182562303156,24,20.0,-1.5999999999999996,TOR,TOR
Alex Poythress,3.2,6.9,5.1868208901451665,1.713179109854834,24,4.2,3.7,IND,ATL
Tobias Harris,11.3,13.1,10.766850067327773,2.3331499326722263,25,33.3,1.799999999999999,LAC,PHI
Courtney Lee,8.5,6.8,8.30113987097706,1.5011398709770605,32,30.4,-1.7000000000000002,NYK,DAL
Dario Saric,11.5,8.8,11.299290059340175,2.499290059340174,24,29.6,-2.6999999999999993,PHI,MIN
Georges Niang,8.6,9.0,9.420135987102576,0.4201359871025758,25,3.5,0.40000000000000036,UTA,UTA
CJ Miles,7.7,5.6,7.858062070579525,2.258062070579525,31,19.1,-2.1000000000000005,TOR,MEM
Troy Daniels,5.8,5.6,5.095442564297352,0.5045574357026474,26,20.5,-0.20000000000000018,PHX,PHX
Mike Muscala,9.6,7.0,8.695951349038332,1.6959513490383316,26,20.0,-2.5999999999999996,ATL,LAL
Kosta Koufos,12.4,8.8,11.480949241378667,2.6809492413786664,29,19.6,-3.5999999999999996,SAC,SAC
Tyrone Wallace,6.0,4.3,8.926866036173141,4.6268660361731415,24,28.4,-1.7000000000000002,LAC,LAC
Davon Reed,4.7,4.8,6.989336358107935,2.1893363581079353,23,11.5,0.09999999999999964,PHX,IND
Andrew Bogut,8.1,9.2,8.92301921705251,0.27698078294748996,33,9.0,1.0999999999999996,LAL,GSW
Wesley Matthews,7.1,6.2,7.5524399095884105,1.3524399095884103,31,33.8,-0.8999999999999995,DAL,IND
Lance Stephenson,9.7,8.8,9.873001462759234,1.0730014627592332,27,22.6,-0.8999999999999986,IND,LAL
Aaron Gordon,11.3,10.9,11.370813590487277,0.47081359048727656,22,32.9,-0.40000000000000036,ORL,ORL
Yogi Ferrell,8.2,9.2,7.754248271568038,1.4457517284319614,25,27.8,1.0,DAL,SAC
Elfrid Payton,10.8,9.8,10.941129363342093,1.1411293633420918,24,28.7,-1.0,PHX,NOP
Kyle Lowry,13.6,11.5,11.488013571386023,0.011986428613976585,32,32.2,-2.0999999999999996,TOR,TOR
Mario Hezonja,9.4,8.2,9.129417865072138,0.9294178650721392,23,22.1,-1.200000000000001,ORL,NYK
Dragan Bender,5.8,6.6,7.272231656838585,0.6722316568385853,20,25.2,0.7999999999999998,PHX,PHX
Wilson Chandler,7.1,5.6,9.406939082034917,3.8069390820349174,31,31.7,-1.5,DEN,LAC
Tyler Zeller,9.6,8.1,9.441991220738707,1.3419912207387075,28,16.8,-1.5,MIL,MEM
Pat Connaughton,5.8,9.4,7.118365924243106,2.2816340757568945,25,18.1,3.6000000000000005,POR,MIL
Cristiano Felicio,8.2,8.6,8.891147070085898,0.29114707008589846,25,17.8,0.40000000000000036,CHI,CHI
Raymond Felton,10.1,8.9,8.572959419860696,0.3270405801393039,34,16.6,-1.1999999999999993,OKC,OKC
Enes Kanter,16.1,15.2,13.310064498404284,1.8899355015957156,26,25.8,-0.9000000000000021,NYK,POR
Ekpe Udoh,7.2,12.5,8.179445015292362,4.320554984707638,31,12.9,5.3,UTA,UTA
Markelle Fultz,9.4,6.9,10.811783538835922,3.9117835388359214,20,18.1,-2.5,PHI,ORL
JaVale McGee,11.8,12.7,10.130644390445898,2.5693556095541012,30,9.5,0.8999999999999986,GSW,LAL
Harrison Barnes,11.4,8.8,10.964678052590621,2.16467805259062,26,34.2,-2.5999999999999996,DAL,SAC
Quincy Pondexter,1.9,9.0,6.034350009569801,2.965649990430199,30,8.5,7.1,CHI,SAS
Cory Joseph,7.8,8.7,8.389521053272917,0.3104789467270823,26,27.0,0.8999999999999995,IND,IND
Davis Bertans,9.2,8.2,8.193908435863186,0.006091564136813332,25,14.1,-1.0,SAS,SAS
Bam Adebayo,11.1,13.3,11.06115456934681,2.238845430653191,20,19.8,2.200000000000001,MIA,MIA
DeMarcus Cousins,16.7,13.9,14.909335184585125,1.0093351845851242,27,36.2,-2.799999999999999,NOP,GSW
Udonis Haslem,2.1,6.7,6.849273206865245,0.14927320686524492,38,5.1,4.6,MIA,MIA
Isaiah Hicks,3.3,10.4,7.461029794452939,2.9389702055470615,23,13.3,7.1000000000000005,NYK,NYK
Jerami Grant,10.1,8.4,9.606206795329179,1.2062067953291784,24,20.3,-1.6999999999999993,OKC,OKC
Aron Baynes,8.7,8.3,10.37126837712503,2.0712683771250298,31,18.3,-0.3999999999999986,BOS,BOS
Jarrett Allen,10.8,12.1,10.215917453418372,1.8840825465816273,20,20.0,1.299999999999999,BKN,BKN
Carmelo Anthony,8.6,7.4,9.59981986030615,2.1998198603061496,34,32.1,-1.1999999999999993,OKC,HOU
Omri Casspi,11.9,11.8,11.127911368261067,0.6720886317389336,30,14.0,-0.09999999999999964,GSW,MEM
Sindarius Thornwell,4.5,3.2,6.4607052794358335,3.2607052794358333,23,15.8,-1.2999999999999998,LAC,LAC
Dante Exum,11.7,8.2,10.949456376441377,2.749456376441378,22,16.8,-3.5,UTA,UTA
Stanley Johnson,5.9,7.9,8.285900796660744,0.38590079666074395,22,27.4,2.0,DET,NOP
Buddy Hield,10.9,11.0,8.902080392336565,2.097919607663435,25,25.3,0.09999999999999964,SAC,SAC
Norman Powell,5.6,9.2,7.839137336380635,1.360862663619364,25,15.2,3.5999999999999996,TOR,TOR
Robin Lopez,8.7,8.8,10.16311795266506,1.3631179526650588,30,26.4,0.10000000000000142,CHI,CHI
Boban Marjanovic,16.6,16.4,12.443219276162598,3.956780723837401,29,8.7,-0.20000000000000284,LAC,PHI
Ivica Zubac,10.8,12.7,10.168189011213085,2.531810988786914,21,9.5,1.8999999999999986,LAL,LAC
Frank Mason,9.1,8.5,9.05186420106076,0.5518642010607593,24,18.9,-0.5999999999999996,SAC,SAC
Jeremy Lamb,11.6,11.8,9.84592151777947,1.954078482220531,26,24.6,0.20000000000000107,CHA,CHA
James Harden,19.4,20.1,13.754320605180695,6.345679394819307,28,35.4,0.7000000000000028,HOU,HOU
De'Aaron Fox,7.4,11.9,9.06100058122732,2.83899941877268,20,27.7,4.5,SAC,SAC
Donovan Mitchell,10.9,11.7,10.57182183626552,1.1281781637344785,21,33.4,0.7999999999999989,UTA,UTA
Bobby Portis,13.3,10.6,11.423966750865949,0.8239667508659494,23,22.5,-2.700000000000001,CHI,WAS
Michael Carter-Williams,7.0,8.5,8.249210644826523,0.25078935517347745,26,16.1,1.5,CHA,ORL
Terry Rozier,11.8,10.3,10.432317204761882,0.1323172047618808,24,25.9,-1.5,BOS,BOS
Jonas Jerebko,9.1,9.2,8.910425116261894,0.2895748837381049,31,15.3,0.09999999999999964,UTA,GSW
Darius Miller,5.6,4.8,5.261489870560298,0.4614898705602979,28,23.7,-0.7999999999999998,NOP,NOP
Terrence Ross,6.1,11.0,7.824625066053192,3.1753749339468076,27,25.0,4.9,ORL,ORL
Guerschon Yabusele,8.0,6.8,8.532901953288468,1.7329019532884677,22,7.1,-1.2000000000000002,BOS,BOS
Alec Burks,10.1,9.1,9.432086320144634,0.3320863201446347,26,16.5,-1.0,UTA,SAC
Caris LeVert,9.9,10.3,9.978723791505168,0.32127620849483307,23,26.2,0.40000000000000036,BKN,BKN
Wayne Selden,7.2,5.4,7.565241826002236,2.1652418260022355,23,19.8,-1.7999999999999998,MEM,CHI
Luke Kornet,8.3,9.3,8.970587025698594,0.32941297430140715,22,16.3,1.0,NYK,NYK
Kevon Looney,7.9,9.2,8.531823252973187,0.6681767470268127,22,13.8,1.299999999999999,GSW,GSW
Trey Burke,12.9,10.8,9.957746468546851,0.8422535314531494,25,21.8,-2.0999999999999996,NYK,DAL
Jaylen Brown,8.9,8.4,10.400837985498777,2.0008379854987766,21,30.7,-0.5,BOS,BOS
Nerlens Noel,11.5,12.2,11.016708668924013,1.1832913310759867,24,15.7,0.6999999999999993,DAL,OKC
Al-Farouq Aminu,9.0,9.7,10.415477704429005,0.7154777044290057,27,30.0,0.6999999999999993,POR,POR
Ante Zizic,13.2,10.3,10.354569579475159,0.05456957947515839,21,6.7,-2.8999999999999986,CLE,CLE
Tyreke Evans,16.0,8.2,11.836908522742913,3.636908522742914,28,30.9,-7.800000000000001,MEM,IND
Luke Kennard,8.6,9.0,8.071724342841582,0.9282756571584176,22,20.0,0.40000000000000036,DET,DET
Jayson Tatum,10.8,10.6,10.311291731151195,0.2887082688488043,20,30.5,-0.20000000000000107,BOS,BOS
Damion Lee,8.6,8.5,9.622611090815806,1.1226110908158056,25,27.0,-0.09999999999999964,ATL,GSW
Lou Williams,12.7,14.7,10.310620309968561,4.389379690031438,31,32.8,2.0,LAC,LAC
Thabo Sefolosha,11.4,9.8,10.237172012422644,0.4371720124226428,34,21.2,-1.5999999999999996,UTA,UTA
Dwight Powell,11.9,12.3,10.04442555491201,2.2555744450879907,26,21.2,0.40000000000000036,DAL,DAL
Derrick Rose,6.8,12.8,8.504181676873554,4.295818323126447,29,16.8,6.000000000000001,MIN,MIN
Kyle Anderson,11.1,9.9,10.732303206754743,0.8323032067547427,24,26.7,-1.1999999999999993,SAS,MEM
Shaquille Harrison,10.1,8.2,9.37161767890431,1.17161767890431,24,16.7,-1.9000000000000004,PHX,CHI
Eric Gordon,9.0,7.0,9.30613898348309,2.3061389834830894,29,31.2,-2.0,HOU,HOU
Kelly Oubre Jr.,7.9,9.4,8.484798581031768,0.9152014189682323,22,27.5,1.5,WAS,PHX
Justin Holiday,6.9,6.8,7.673895664109725,0.8738956641097255,29,31.5,-0.10000000000000053,CHI,MEM
Tyson Chandler,10.8,8.5,10.039042156500042,1.5390421565000416,35,25.0,-2.3000000000000007,PHX,LAL
Wayne Ellington,8.5,7.5,7.180943888492667,0.31905611150733293,30,26.5,-1.0,MIA,DET
Montrezl Harrell,14.4,14.0,11.038973527354832,2.961026472645168,24,17.0,-0.40000000000000036,LAC,LAC
Royce O'Neale,9.2,7.3,9.321471385774984,2.0214713857749844,25,16.7,-1.8999999999999995,UTA,UTA
David Nwaba,7.5,7.1,9.0092344715008,1.9092344715008007,25,23.5,-0.40000000000000036,CHI,CLE
Lorenzo Brown,7.6,5.4,8.719218796444645,3.3192187964446447,27,9.9,-2.1999999999999993,TOR,TOR
E'Twaun Moore,7.3,6.7,8.287292472072634,1.587292472072634,29,31.5,-0.5999999999999996,NOP,NOP
Andrew Harrison,8.3,2.5,8.453300365833135,5.953300365833135,23,23.7,-5.800000000000001,MEM,NOP
Daniel Theis,10.5,9.5,10.247657265067563,0.7476572650675628,26,14.9,-1.0,BOS,BOS
J.J. Barea,13.3,13.1,10.358603638036909,2.7413963619630906,34,23.2,-0.20000000000000107,DAL,DAL
Alex Caruso,6.2,9.6,7.36432125955683,2.23567874044317,24,15.2,3.3999999999999995,LAL,LAL
Anthony Davis,18.8,19.7,14.630221169923528,5.069778830076471,25,36.4,0.8999999999999986,NOP,NOP
Gordon Hayward,4.8,11.4,9.861100572882759,1.5388994271172418,28,5.3,6.6000000000000005,BOS,BOS
Thaddeus Young,9.0,10.4,10.750230401938754,0.3502304019387541,30,32.2,1.4000000000000004,IND,IND
Zach LaVine,9.2,12.5,9.512528700850993,2.987471299149007,23,27.3,3.3000000000000007,CHI,CHI
George Hill,7.9,7.9,8.126518530250246,0.22651853025024593,32,27.0,0.0,CLE,MIL
Jeremy Lin,7.1,10.0,5.5116440597832295,4.4883559402167705,29,25.2,2.9000000000000004,BKN,TOR
Noah Vonleh,10.8,10.4,10.684087090683699,0.2840870906836983,22,16.2,-0.40000000000000036,CHI,NYK
Walt Lemon Jr.,3.0,10.9,6.474474398796106,4.425525601203894,25,7.0,7.9,NOP,CHI
P.J. Tucker,5.9,5.6,8.299972521500004,2.6999725215000048,33,27.8,-0.3000000000000007,HOU,HOU
D.J. Wilson,6.5,7.5,7.776814294347095,0.27681429434709504,22,3.2,1.0,MIL,MIL
DeAndre Jordan,15.2,15.4,12.676657910008956,2.7233420899910445,29,31.5,0.20000000000000107,LAC,NYK
Nene,9.2,6.9,10.105728302928314,3.205728302928314,35,14.6,-2.299999999999999,HOU,HOU
Paul George,12.0,16.1,11.068824464318961,5.03117553568104,28,36.6,4.100000000000001,OKC,OKC
Miles Plumlee,7.1,12.2,8.822542626562578,3.377457373437421,29,16.7,5.1,ATL,ATL
JaMychal Green,10.1,10.3,10.324258432787316,0.024258432787314987,28,28.0,0.20000000000000107,MEM,LAC
Dwyane Wade,10.4,11.5,10.807537678852654,0.692462321147346,36,22.9,1.0999999999999996,MIA,MIA
Andrew Wiggins,7.6,7.8,9.786753967761488,1.986753967761488,23,36.3,0.20000000000000018,MIN,MIN
Malik Beasley,6.0,8.9,6.9657682285246505,1.9342317714753499,21,9.4,2.9000000000000004,DEN,DEN
Avery Bradley,6.0,4.7,8.375733140868498,3.6757331408684975,27,31.2,-1.2999999999999998,LAC,MEM
Tony Bradley,8.8,8.5,9.721266157396222,1.2212661573962222,20,3.2,-0.3000000000000007,UTA,UTA
Terrance Ferguson,2.8,2.7,4.461444521276162,1.7614445212761618,20,12.5,-0.09999999999999964,OKC,OKC
Willy Hernangomez,13.4,11.8,11.40594190876946,0.3940580912305407,24,10.3,-1.5999999999999996,CHA,CHA
Tyus Jones,9.0,9.5,7.881605375650093,1.6183946243499072,22,17.9,0.5,MIN,MIN
Wade Baldwin IV,9.4,2.1,9.142897419117924,7.042897419117924,22,11.5,-7.300000000000001,POR,POR
Rajon Rondo,11.5,9.9,10.826883252880853,0.9268832528808524,32,26.2,-1.5999999999999996,NOP,LAL
Ian Mahinmi,6.1,6.8,9.1403036842769,2.3403036842768996,31,14.9,0.7000000000000002,WAS,WAS
Rudy Gay,12.5,12.8,11.150952911577525,1.649047088422476,31,21.6,0.3000000000000007,SAS,SAS
Jaylen Morris,7.7,10.9,8.302307230623647,2.597692769376353,22,16.4,3.2,ATL,MIL
Eric Moreland,10.3,9.5,9.862678704434204,0.36267870443420414,26,12.0,-0.8000000000000007,DET,TOR
John Henson,9.7,12.7,11.172902506508041,1.527097493491958,27,25.9,3.0,MIL,CLE
Jose Calderon,6.7,5.6,6.73142932377238,1.1314293237723803,36,16.0,-1.1000000000000005,CLE,DET
T.J. Warren,10.7,9.9,10.314649482425159,0.4146494824251583,24,33.0,-0.7999999999999989,PHX,PHX
LaMarcus Aldridge,15.9,14.3,13.453254025351164,0.8467459746488366,32,33.4,-1.5999999999999996,SAS,SAS
Thon Maker,5.0,7.4,7.1247069074978056,0.2752930925021948,21,16.7,2.4000000000000004,MIL,DET
Brook Lopez,9.2,8.8,10.187020175075753,1.3870201750757527,30,23.4,-0.3999999999999986,LAL,MIL
Greg Monroe,15.3,10.6,12.884193431897174,2.284193431897174,28,20.4,-4.700000000000001,BOS,PHI
Nikola Vucevic,13.9,18.5,13.312251314926105,5.187748685073895,27,29.5,4.6,ORL,ORL
JR Smith,5.2,5.1,6.668170072278077,1.5681700722780771,32,28.1,-0.10000000000000053,CLE,CLE
Johnathan Motley,12.6,11.9,11.329783409255818,0.5702165907441827,23,16.0,-0.6999999999999993,DAL,LAC
Jon Leuer,7.0,9.1,9.052195451232167,0.047804548767832244,29,17.1,2.0999999999999996,DET,DET
D.J. Augustin,10.7,10.3,8.156072455188891,2.1439275448111097,30,23.5,-0.3999999999999986,ORL,ORL
Ed Davis,11.5,13.9,11.184838245021222,2.7151617549787783,29,18.9,2.4000000000000004,POR,BKN
Kemba Walker,13.1,14.0,10.077382198105127,3.922617801894873,28,34.2,0.9000000000000004,CHA,CHA
Jason Smith,4.6,6.2,7.167676996491002,0.9676769964910017,32,8.6,1.6000000000000005,WAS,NOP
Alex Abrines,4.8,4.1,5.4642692679424325,1.3642692679424329,24,15.1,-0.7000000000000002,OKC,OKC
Nik Stauskas,7.2,7.8,7.031058689567169,0.7689413104328304,24,12.8,0.5999999999999996,BKN,CLE
Mike Conley,10.9,15.1,10.366518558924616,4.733481441075384,30,31.1,4.199999999999999,MEM,MEM
Ish Smith,10.6,8.6,9.576892801056877,0.9768928010568771,29,24.9,-2.0,DET,DET
Alfonzo McKinnie,5.2,6.5,7.304791993938335,0.804791993938335,25,3.8,1.2999999999999998,TOR,GSW
Semi Ojeleye,3.2,5.7,5.400696508961808,0.2993034910381924,23,15.8,2.5,BOS,BOS
Doug McDermott,6.9,7.5,7.415244728280916,0.08475527171908404,26,21.8,0.5999999999999996,DAL,IND
DeMar DeRozan,13.5,13.5,11.329157678168482,2.1708423218315183,28,33.9,0.0,TOR,SAS
Khris Middleton,11.4,11.8,11.14707162874302,0.65292837125698,26,36.4,0.40000000000000036,MIL,MIL
Lance Thomas,3.7,4.3,5.616879487450467,1.3168794874504668,30,18.5,0.5999999999999996,NYK,NYK
